date,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,surface_pressure,pressure_msl,wind_speed_10m,wind_direction_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,rain
2025-09-30 00:00:00+00:00,25.05,91.67783,29.929287,0.0,1013.3033,1014.0,6.698806,239.30035,25.3,0.376,0.0
2025-09-30 01:00:00+00:00,25.0,92.78578,30.23148,0.0,1012.6037,1013.3,4.913044,241.55717,25.15,0.373,0.0
2025-09-30 02:00:00+00:00,25.35,90.872086,30.135036,0.0,1012.20465,1012.9,7.970972,205.40767,26.05,0.327,0.0
2025-09-30 03:00:00+00:00,25.35,90.872086,29.91143,0.0,1012.00476,1012.7,9.504272,217.30403,25.7,0.326,0.0
2025-09-30 04:00:00+00:00,25.25,91.68969,29.813267,0.0,1011.60504,1012.3,9.703319,220.48593,25.4,0.324,0.0
2025-09-30 05:00:00+00:00,25.3,90.323204,29.817352,0.0,1011.40515,1012.1,9.178235,228.17992,25.2,0.323,0.0
2025-09-30 06:00:00+00:00,25.35,90.32661,29.854702,0.0,1011.8049,1012.5,9.473541,231.17017,25.05,0.322,0.0
2025-09-30 07:00:00+00:00,25.55,89.52866,30.148273,0.0,1012.1054,1012.8,9.039514,234.7275,24.95,0.321,0.0
2025-09-30 08:00:00+00:00,26.4,86.425575,31.18063,0.0,1012.9066,1013.6,8.836514,236.6336,25.3,0.32,0.0
2025-09-30 09:00:00+00:00,27.35,81.976326,32.152184,0.1,1013.60846,1014.3,8.891343,238.24055,26.25,0.317,0.1
2025-09-30 10:00:00+00:00,27.85,79.13695,32.473385,0.1,1014.20905,1014.9,9.686609,228.01286,27.4,0.313,0.1
2025-09-30 11:00:00+00:00,28.05,80.84301,33.976547,0.3,1014.3096,1015.0,10.094454,238.8611,28.6,0.311,0.3
2025-09-30 12:00:00+00:00,27.95,82.048874,33.817177,0.4,1013.8096,1014.5,7.2649574,228.01286,29.3,0.31,0.4
2025-09-30 13:00:00+00:00,27.0,79.73938,31.201214,5.2,1012.80804,1013.5,9.67657,223.49261,29.15,0.372,5.2
2025-09-30 14:00:00+00:00,26.6,86.18534,31.348755,0.2,1011.7079,1012.4,9.693296,238.67136,28.9,0.367,0.2
2025-09-30 15:00:00+00:00,26.95,83.169914,31.008774,0.3,1010.20984,1010.9,13.356437,232.66673,28.75,0.364,0.3
2025-09-30 16:00:00+00:00,27.4,80.759735,31.834782,0.1,1010.0109,1010.7,11.983188,212.73521,29.15,0.357,0.1
2025-09-30 17:00:00+00:00,26.8,84.66659,31.5234,0.0,1010.10956,1010.8,9.437563,214.90257,28.8,0.352,0.0
2025-09-30 18:00:00+00:00,26.65,85.16123,30.844093,0.0,1010.2092,1010.9,12.855831,225.56718,28.15,0.348,0.0
2025-09-30 19:00:00+00:00,26.3,87.72396,30.805744,0.1,1010.9078,1011.6,11.362834,220.50276,27.4,0.346,0.1
2025-09-30 20:00:00+00:00,26.25,88.24775,30.805298,0.0,1012.2069,1012.9,11.238113,238.09193,26.85,0.344,0.0
2025-09-30 21:00:00+00:00,26.15,88.77078,30.790268,0.0,1013.1059,1013.8,10.656547,232.54935,26.5,0.342,0.0
2025-09-30 22:00:00+00:00,26.05,89.56556,30.902325,0.0,1013.80505,1014.5,9.418662,224.9999,26.15,0.34,0.0
2025-09-30 23:00:00+00:00,25.85,90.36088,30.515533,0.1,1013.605,1014.3,10.486448,230.57222,25.95,0.339,0.1
2025-10-01 00:00:00+00:00,25.75,90.62569,30.674618,0.0,1013.7046,1014.4,8.4963045,233.61555,25.7,0.337,0.0
2025-10-01 01:00:00+00:00,25.85,88.747086,29.701767,0.0,1013.00543,1013.7,14.787414,238.43823,26.7,0.285,0.0
2025-10-01 02:00:00+00:00,25.5,89.52493,29.857216,0.5,1012.30493,1013.0,10.483357,254.05453,26.2,0.289,0.5
2025-10-01 03:00:00+00:00,25.5,89.25571,29.731876,0.0,1011.90515,1012.6,11.13384,235.53912,25.8,0.289,0.0
2025-10-01 04:00:00+00:00,25.4,89.51753,29.590828,0.0,1011.80524,1012.5,11.207801,240.14108,25.55,0.288,0.0
2025-10-01 05:00:00+00:00,25.25,89.77681,29.54377,0.0,1011.8049,1012.5,10.088033,254.47583,25.3,0.288,0.0
2025-10-01 06:00:00+00:00,25.05,90.85257,29.636017,0.0,1012.50385,1013.2,8.085988,253.17851,25.1,0.287,0.0
2025-10-01 07:00:00+00:00,25.15,92.2372,30.596958,0.0,1012.3043,1013.0,3.6447225,302.90524,25.65,0.285,0.0
2025-10-01 08:00:00+00:00,25.4,82.23718,29.02433,1.4,1013.5041,1014.2,9.473541,51.170166,25.8,0.3,1.4
2025-10-01 09:00:00+00:00,24.05,95.008606,27.494738,4.3,1014.99994,1015.7,14.892213,44.510365,25.45,0.357,4.3
2025-10-01 10:00:00+00:00,24.45,94.73724,29.197487,2.5,1014.90094,1015.6,7.3997297,18.435053,25.35,0.385,2.5
2025-10-01 11:00:00+00:00,25.25,88.165054,30.310146,0.8,1014.20325,1014.9,3.6,306.86996,25.65,0.388,0.8
2025-10-01 12:00:00+00:00,25.3,86.58343,29.979797,0.2,1013.5037,1014.2,5.195113,255.96373,26.05,0.383,0.2
2025-10-01 13:00:00+00:00,25.7,83.53164,29.884098,0.0,1013.1049,1013.8,7.7900705,220.31403,27.65,0.347,0.0
2025-10-01 14:00:00+00:00,25.85,82.04186,29.927017,0.0,1012.20593,1012.9,7.928178,182.60251,27.45,0.343,0.0
2025-10-01 15:00:00+00:00,25.55,84.02327,29.427757,0.4,1011.9055,1012.6,9.6932955,195.06854,27.1,0.344,0.4
2025-10-01 16:00:00+00:00,25.2,87.89468,28.888416,0.3,1011.5049,1012.2,12.599998,216.86998,26.6,0.344,0.3
2025-10-01 17:00:00+00:00,25.2,87.10022,28.629818,0.2,1011.1051,1011.8,13.767352,228.17992,26.3,0.343,0.2
2025-10-01 18:00:00+00:00,25.1,87.3555,28.429333,0.0,1011.0048,1011.7,14.25641,217.30403,25.95,0.34,0.0
2025-10-01 19:00:00+00:00,25.15,88.423805,29.144665,0.0,1012.10443,1012.8,10.703569,199.65392,25.5,0.338,0.0
2025-10-01 20:00:00+00:00,25.15,87.35993,29.284344,0.0,1012.70404,1013.4,8.936777,198.79999,25.15,0.336,0.0
2025-10-01 21:00:00+00:00,25.1,88.41969,29.563007,0.0,1013.40314,1014.1,7.289444,200.22495,24.9,0.335,0.0
2025-10-01 22:00:00+00:00,24.9,90.29567,29.634949,0.0,1013.50275,1014.2,6.037383,206.56499,24.7,0.333,0.0
2025-10-01 23:00:00+00:00,25.0,90.03025,29.793297,0.0,1013.3033,1014.0,5.8409934,213.6901,24.65,0.332,0.0
2025-10-02 00:00:00+00:00,24.85,90.56548,29.94442,0.0,1013.3029,1014.0,3.572898,229.08571,24.55,0.332,0.0
2025-10-02 01:00:00+00:00,25.0,87.082184,29.454445,0.0,1013.1034,1013.8,5.9427266,271.73566,24.2,0.318,0.0
2025-10-02 02:00:00+00:00,24.55,90.27146,28.93975,0.0,1012.9023,1013.6,6.9899354,281.88864,24.1,0.317,0.0
2025-10-02 03:00:00+00:00,24.2,92.74402,28.916565,0.2,1012.6018,1013.3,5.154415,294.77512,24.1,0.318,0.2
2025-10-02 04:00:00+00:00,23.8,92.441864,28.306667,2.1,1012.6008,1013.3,4.802999,282.99463,24.1,0.343,2.1
